Lat-Long,Count,
40.64-73.97,185,
40.64-73.96,130,
40.64-73.99,42,
40.64-73.98,86,
40.72-74.20,2,
40.72-74.28,2,
40.77-74.44,2,
40.72-74.27,4,
40.72-74.26,1,
40.77-74.42,1,
40.72-74.25,1,
40.72-74.23,1,
40.72-74.22,2,
40.72-74.21,2,
40.87-73.17,1,
40.64-73.91,32,
40.64-73.90,17,
40.64-73.93,27,
40.72-74.29,3,
40.64-73.92,47,
40.66-73.69,2,
40.66-73.67,5,
40.66-73.68,1,
40.85-73.97,18,
40.56-74.31,4,
40.66-73.65,11,
40.56-74.30,2,
40.66-73.66,2,
40.85-73.98,2,
40.56-74.33,3,
40.85-73.95,1,
40.85-73.96,4,
40.66-73.64,5,
40.66-73.61,1,
40.91-74.22,2,
40.85-73.99,1,
40.87-73.45,1,
40.85-73.90,20,
40.87-73.43,2,
40.85-73.93,189,
40.85-73.94,286,
40.85-73.91,29,
40.85-73.92,20,
41.06-73.83,6,
41.06-73.84,4,
41.06-73.85,1,
41.06-73.86,4,
40.66-73.58,3,
40.66-73.59,2,
40.56-74.48,1,
40.66-73.56,1,
40.56-74.44,1,
40.56-74.43,1,
40.91-74.10,1,
40.70-74.38,2,
40.56-74.40,1,
40.72-74.06,23,
40.91-74.16,1,
40.72-74.05,227,
40.72-74.04,486,
40.91-74.14,1,
40.72-74.03,279,
41.22-73.25,1,
40.72-74.02,1383,
40.70-74.32,1,
40.72-74.01,15976,
40.70-74.33,1,
40.72-74.00,23130,
40.70-74.30,5,
40.70-74.31,1,
40.72-74.09,12,
40.72-74.08,22,
40.72-74.07,40,
40.64-73.62,1,
40.64-73.68,5,
40.56-74.58,1,
40.64-73.67,2,
40.70-74.26,2,
40.56-74.55,1,
40.70-74.24,4,
40.85-73.79,2,
40.70-74.28,1,
40.70-74.21,2,
40.85-73.71,1,
40.87-73.63,1,
40.70-74.22,2,
40.70-74.20,1,
40.93-74.27,1,
40.93-74.26,1,
40.93-74.25,2,
40.40-74.36,1,
40.64-73.52,1,
40.85-73.86,20,
40.85-73.87,11,
40.64-73.58,2,
40.85-73.84,26,
40.85-73.85,37,
40.70-74.18,991,
40.70-74.19,15,
40.85-73.88,16,
40.85-73.89,67,
40.70-74.17,1,
40.70-74.10,6,
40.85-73.83,15,
41.37-73.80,1,
40.93-74.12,1,
40.75-74.26,11,
40.82-73.64,2,
40.75-74.21,1,
40.75-74.20,6,
40.82-73.61,1,
40.75-74.23,2,
40.82-73.60,1,
40.75-74.22,3,
40.75-74.25,3,
40.82-73.65,1,
40.75-74.16,8,
40.75-74.15,1,
40.75-74.18,2,
40.75-74.17,10,
40.75-74.19,1,
40.66-73.98,539,
40.66-73.99,473,
40.66-73.96,348,
40.66-73.97,28,
40.82-73.50,2,
40.66-73.94,172,
41.04-73.86,17,
40.75-74.12,1,
40.66-73.95,269,
41.04-73.87,4,
40.66-73.92,73,
40.75-74.14,3,
40.66-73.93,97,
40.66-73.90,32,
40.66-73.91,57,
40.82-73.58,1,
41.13-74.01,1,
41.06-73.50,2,
41.06-73.51,2,
41.06-73.54,20,
40.75-74.05,33,
40.75-74.04,183,
40.75-74.06,5,
40.66-73.89,40,
40.82-73.86,16,
40.66-73.87,6,
40.66-73.88,17,
40.82-73.85,8,
40.66-73.85,6,
40.82-73.84,2,
40.66-73.86,1,
40.82-73.83,2,
40.75-74.01,5202,
40.91-74.01,1,
40.82-73.82,6,
40.69-73.47,1,
40.66-73.83,9,
40.75-74.00,8447,
40.66-73.84,9,
40.82-73.81,2,
40.75-74.03,907,
40.66-73.81,9,
40.75-74.02,85,
40.66-73.82,7,
41.20-73.20,2,
40.80-73.95,672,
40.80-73.94,324,
40.66-73.80,40,
40.91-74.04,1,
40.80-73.93,191,
40.91-74.03,5,
40.80-73.92,25,
40.80-73.99,7,
40.80-73.98,126,
40.82-73.89,41,
40.91-74.08,1,
40.80-73.97,1693,
40.82-73.88,10,
40.91-74.07,2,
40.80-73.96,743,
40.82-73.87,10,
41.06-73.61,1,
41.06-73.65,1,
40.80-73.91,16,
40.66-73.78,1,
40.59-74.62,1,
40.66-73.79,8,
40.59-74.63,1,
40.66-73.76,5,
40.82-73.75,1,
40.66-73.77,10,
40.66-73.74,9,
40.66-73.75,3,
40.66-73.72,7,
40.66-73.73,4,
40.82-73.70,1,
40.66-73.70,5,
40.66-73.71,6,
41.20-73.08,1,
40.69-73.61,1,
41.07-73.49,2,
40.69-73.63,3,
40.26-74.36,1,
40.69-73.62,1,
40.69-73.65,1,
41.04-73.58,1,
41.04-73.59,1,
40.69-73.67,1,
41.04-73.53,2,
40.69-73.69,1,
40.69-73.68,1,
41.04-73.54,3,
41.04-73.55,6,
41.04-73.56,2,
40.80-73.72,1,
41.01-73.62,1,
40.80-73.70,6,
40.82-73.24,4,
41.01-73.63,1,
41.01-73.66,5,
41.01-73.65,2,
40.80-73.74,4,
40.77-74.19,1,
40.77-74.17,4,
41.01-73.69,5,
40.77-74.15,2,
40.77-74.16,8,
40.77-74.13,1,
40.77-74.14,1,
40.69-73.53,1,
40.69-73.57,2,
40.77-74.22,2,
40.77-74.23,3,
40.80-73.82,9,
40.77-74.20,1,
41.01-73.73,2,
40.77-74.21,2,
41.01-73.75,1,
40.80-73.87,1,
40.80-73.85,1,
41.01-73.79,1,
41.01-73.78,2,
40.77-74.28,1,
40.77-74.29,5,
40.77-74.26,1,
40.77-74.24,3,
41.12-74.11,1,
40.75-74.49,1,
40.69-73.81,13,
40.69-73.80,15,
40.69-73.83,33,
40.69-73.82,15,
40.69-73.85,18,
40.69-73.84,16,
41.04-73.70,1,
40.69-73.87,13,
40.80-73.59,1,
40.69-73.86,27,
40.75-74.40,2,
40.69-73.89,1,
40.75-74.43,1,
40.69-73.88,4,
40.75-74.42,1,
41.04-73.75,1,
41.04-73.76,1,
41.04-73.77,3,
41.01-73.80,1,
41.04-73.78,1,
40.80-73.51,3,
40.78-74.05,5,
41.01-73.82,1,
40.80-73.50,1,
40.82-73.49,1,
40.78-74.07,8,
40.82-73.47,2,
40.78-74.08,1,
40.78-74.01,45,
40.78-74.02,27,
41.01-73.85,3,
40.82-73.45,1,
40.80-73.54,1,
40.80-73.53,3,
40.78-74.03,7,
41.01-73.88,2,
40.78-74.04,12,
40.80-73.52,3,
40.72-74.54,2,
40.78-74.00,5,
