Lat-Long,Count,
40.71-74.40,1,
40.71-74.41,2,
40.65-73.76,3,
40.65-73.78,4561,
41.21-73.88,1,
40.65-73.70,1,
40.86-73.19,1,
41.02-74.09,1,
40.65-73.83,4,
40.65-73.84,18,
40.65-73.85,7,
40.65-73.87,5,
40.71-74.30,1,
40.65-73.88,40,
40.65-73.89,17,
40.71-74.33,3,
40.71-74.35,1,
40.86-73.20,1,
40.65-73.80,21,
40.65-73.81,5,
41.02-74.10,1,
40.60-73.77,2,
40.60-73.76,5,
40.60-73.78,1,
40.90-73.79,1,
40.71-74.20,7,
40.71-74.21,7,
40.86-73.71,1,
40.71-74.22,1,
41.02-74.03,2,
40.67-74.11,2,
40.90-73.77,1,
40.67-74.10,5,
40.71-74.25,3,
40.60-73.75,1,
40.60-73.74,6,
40.71-74.29,1,
40.67-74.17,1,
40.67-74.19,1,
41.21-73.69,1,
40.67-74.12,5,
40.25-74.70,1,
40.92-74.00,3,
40.71-74.10,6,
40.86-73.82,1,
40.60-73.80,1,
40.86-73.83,5,
40.92-74.09,5,
40.86-73.84,7,
40.67-74.00,137,
40.86-73.85,24,
40.86-73.86,25,
40.71-74.14,3,
40.86-73.87,37,
40.86-73.88,89,
40.71-74.16,3,
41.21-73.73,1,
40.86-73.89,111,
40.71-74.17,12,
40.71-74.18,6,
40.71-74.19,2,
40.92-74.01,1,
40.67-74.08,1,
40.92-74.04,1,
40.67-74.02,117,
40.92-74.06,1,
40.67-74.01,182,
40.92-74.08,9,
40.92-74.07,9,
40.92-74.10,1,
40.60-73.99,34,
41.17-73.26,3,
40.60-73.98,21,
40.71-74.00,2361,
40.88-74.07,2,
40.90-73.97,4,
40.60-73.91,1,
40.71-74.01,14009,
40.88-74.06,6,
40.90-73.98,3,
40.71-74.02,2584,
40.60-73.93,6,
40.71-74.03,38,
40.86-73.53,1,
40.71-74.04,158,
40.60-73.95,32,
40.88-74.03,1,
40.90-73.94,11,
40.60-73.94,31,
41.17-73.34,1,
40.71-74.06,44,
40.60-73.97,168,
40.90-73.95,7,
40.88-74.05,6,
40.71-74.07,11,
40.60-73.96,42,
40.88-74.04,9,
40.90-73.96,1,
40.86-73.57,1,
40.71-74.08,17,
40.90-73.90,87,
40.71-74.09,14,
40.90-73.91,11,
40.88-74.00,2,
40.90-73.86,9,
40.90-73.87,18,
40.88-74.17,1,
40.90-73.88,1,
40.88-74.19,2,
40.90-73.89,1,
40.90-73.82,1,
40.90-73.83,3,
40.88-74.13,1,
40.90-73.84,2,
40.90-73.85,6,
40.88-74.15,3,
40.88-74.10,1,
40.90-73.80,6,
40.88-74.12,1,
40.90-73.81,3,
40.88-74.11,1,
40.55-74.21,1,
40.55-74.20,1,
40.55-74.29,6,
40.55-74.26,1,
40.88-74.24,1,
40.88-74.21,1,
40.62-74.39,1,
40.55-74.17,1,
40.55-74.15,1,
40.55-74.14,1,
40.41-74.44,1,
40.41-74.43,1,
40.62-74.25,1,
40.62-74.24,2,
40.55-74.42,1,
40.55-74.40,1,
40.95-73.77,2,
40.95-73.74,1,
40.86-73.90,45,
40.86-73.91,30,
40.86-73.92,31,
40.95-73.79,3,
40.86-73.93,98,
40.86-73.94,41,
40.62-74.14,1,
40.62-74.16,8,
40.86-73.96,4,
40.86-73.97,26,
40.95-73.73,4,
40.86-73.98,8,
40.62-74.10,3,
40.86-73.99,2,
40.62-74.12,2,
40.95-73.71,1,
40.88-74.48,1,
40.62-74.11,1,
40.88-74.45,1,
40.62-74.18,1,
40.62-74.17,1,
40.55-74.33,1,
40.55-74.32,1,
40.55-74.30,1,
40.95-73.69,1,
40.62-74.03,172,
40.62-74.02,87,
40.97-74.07,1,
40.62-74.04,42,
40.97-74.08,1,
40.62-74.01,32,
40.62-74.00,28,
40.62-74.07,2,
40.62-74.09,3,
40.62-74.08,2,
40.95-73.99,1,
40.50-74.44,5,
40.95-73.98,1,
40.50-74.45,4,
40.50-74.46,1,
41.31-72.93,1,
40.95-73.90,4,
40.95-73.95,2,
40.95-73.93,1,
40.50-74.42,1,
40.95-73.92,1,
40.97-74.11,1,
40.46-74.29,1,
40.95-73.88,3,
40.95-73.87,1,
40.95-73.86,2,
40.50-74.35,2,
40.50-74.37,1,
40.95-73.89,1,
40.95-73.83,9,
40.95-73.82,2,
40.50-74.30,1,
40.95-73.81,2,
40.50-74.64,1,
40.46-74.46,1,
40.46-74.40,1,
41.30-74.18,1,
41.08-73.66,1,
40.79-74.02,9,
40.79-74.03,1,
40.79-74.00,18,
40.79-74.01,18,
40.79-74.06,3,
40.79-74.07,11,
40.79-74.04,49,
40.79-74.05,16,
40.58-74.13,3,
40.58-74.11,2,
41.03-73.59,1,
41.03-73.56,2,
41.03-73.57,3,
41.08-73.71,1,
40.58-74.15,1,
41.03-73.53,2,
40.79-74.14,3,
40.79-74.17,2,
40.79-74.15,3,
40.79-74.16,1,
40.58-74.01,1,
40.79-74.08,4,
40.58-74.00,8,
40.74-74.00,18313,
40.74-74.04,454,
40.79-74.20,1,
40.74-74.03,1020,
40.79-74.21,1,
40.74-74.01,13718,
40.79-74.24,2,
40.74-74.07,16,
40.79-74.25,1,
40.74-74.06,22,
40.74-74.05,60,
40.79-74.23,1,
41.08-73.47,7,
41.08-73.46,2,
40.79-74.26,1,
40.74-74.09,1,
LatLon,1,
40.79-74.19,2,
41.08-73.55,3,
40.83-73.74,1,
40.83-73.70,2,
40.79-74.35,1,
40.79-74.37,1,
40.79-74.38,2,
40.58-74.61,3,
40.83-73.84,2,
40.83-73.85,3,
40.83-73.82,10,
40.83-73.83,4,
40.79-74.42,1,
40.79-74.43,1,
40.83-73.81,1,
40.79-74.41,1,
40.62-73.93,42,
40.79-74.46,1,
40.62-73.92,44,
40.79-74.47,3,
40.62-73.95,38,
41.35-73.95,1,
40.62-73.94,44,
40.79-74.48,2,
40.62-73.91,16,
40.79-74.49,1,
40.62-73.90,2,
40.58-74.56,1,
40.58-74.57,1,
40.62-73.97,78,
40.62-73.96,56,
40.62-73.99,22,
40.62-73.98,12,
40.83-73.88,12,
40.83-73.89,35,
40.83-73.86,13,
40.83-73.87,3,
40.83-73.95,182,
40.83-73.96,4,
40.83-73.93,300,
40.83-73.94,252,
40.83-73.91,12,
40.83-73.92,220,
40.95-74.08,1,
40.83-73.90,23,
40.62-73.82,1,
40.62-73.80,1,
41.08-73.86,4,
41.08-73.83,2,
41.08-73.82,2,
41.08-73.80,2,
40.07-74.16,1,
40.83-73.97,20,
40.83-73.98,9,
40.62-73.73,11,
40.62-73.72,3,
40.62-73.75,1,
40.62-73.74,4,
40.83-73.30,1,
41.05-73.63,1,
41.05-73.69,1,
40.81-73.90,6,
41.05-73.67,1,
41.05-73.68,1,
40.81-73.92,45,
40.81-73.91,21,
40.90-74.07,1,
40.81-73.94,538,
40.81-73.93,66,
40.81-73.96,900,
40.90-74.04,3,
40.81-73.95,765,
41.05-73.62,1,
40.81-73.98,5,
40.90-74.06,1,
40.81-73.97,226,
40.67-73.84,14,
40.90-74.00,3,
40.81-73.99,18,
40.67-73.85,8,
40.67-73.86,16,
40.68-73.54,1,
40.67-73.87,50,
40.68-73.55,1,
40.90-74.01,1,
40.67-73.80,81,
40.76-74.00,5471,
40.67-73.81,33,
40.67-73.82,24,
40.76-74.01,6,
40.76-74.02,70,
40.67-73.83,30,
40.76-74.03,120,
40.76-74.04,23,
40.76-74.05,6,
40.27-74.54,1,
40.67-73.88,37,
40.76-74.07,1,
40.76-74.08,7,
40.67-73.89,45,
40.68-73.51,1,
40.83-73.41,1,
41.05-73.77,6,
41.05-73.79,1,
40.67-73.73,11,
40.68-73.67,1,
40.67-73.74,5,
40.67-73.75,9,
40.67-73.76,17,
40.68-73.66,2,
40.68-73.69,5,
40.67-73.71,1,
40.67-73.72,1,
40.83-73.46,1,
40.68-73.63,4,
40.67-73.77,6,
40.67-73.78,37,
40.83-73.45,2,
40.67-73.79,37,
40.68-73.62,1,
41.00-73.69,1,
40.83-73.50,2,
41.00-73.68,1,
40.81-73.70,4,
41.00-73.67,11,
41.05-73.83,1,
40.90-74.26,1,
41.00-73.66,8,
40.67-73.62,1,
40.67-73.63,2,
40.90-74.21,1,
40.67-73.64,3,
40.90-74.24,2,
40.67-73.65,1,
40.81-73.79,1,
40.67-73.60,1,
40.67-73.61,1,
40.67-73.66,4,
40.67-73.67,1,
40.67-73.69,1,
40.83-73.63,1,
40.83-73.60,1,
41.00-73.79,3,
41.00-73.74,5,
40.81-73.81,10,
40.81-73.80,2,
40.90-74.18,1,
41.00-73.73,1,
40.81-73.85,3,
41.00-73.78,1,
41.05-73.94,1,
41.00-73.77,3,
40.81-73.87,7,
40.81-73.86,3,
40.90-74.11,1,
40.81-73.89,6,
40.68-73.45,1,
40.67-73.51,2,
40.90-74.10,7,
40.81-73.88,1,
40.67-73.52,1,
40.67-73.53,1,
40.90-74.13,1,
40.90-74.12,1,
41.00-73.70,3,
40.28-74.14,1,
40.83-73.69,1,
40.67-73.55,2,
40.68-73.42,4,
40.83-73.64,1,
40.84-73.48,1,
40.74-74.15,6,
40.65-73.93,54,
40.74-74.19,3,
40.74-74.18,20,
40.65-73.94,79,
40.74-74.17,78,
40.65-73.95,117,
40.81-73.50,1,
40.65-73.96,268,
40.74-74.16,33,
40.65-73.97,197,
40.65-73.98,152,
41.00-73.88,5,
40.81-73.54,1,
40.65-73.99,4,
41.00-73.86,1,
40.68-73.98,2008,
40.81-73.58,1,
40.68-73.99,1217,
40.76-74.42,6,
40.65-73.90,26,
40.65-73.91,59,
40.65-73.92,33,
41.03-73.88,1,
40.68-73.92,208,
40.68-73.93,367,
40.68-73.90,45,
41.03-73.83,1,
40.68-73.91,109,
40.68-73.96,1252,
40.68-73.97,1565,
41.03-73.82,1,
40.68-73.94,474,
40.68-73.95,840,
40.74-74.22,3,
40.74-74.21,2,
40.74-74.20,3,
40.73-74.30,1,
40.74-74.26,8,
40.74-74.25,3,
40.74-74.24,1,
40.74-74.23,4,
40.74-74.29,1,
40.74-74.28,3,
40.81-73.61,1,
40.74-74.27,1,
40.81-73.63,6,
40.81-73.62,1,
41.00-73.99,1,
40.81-73.67,1,
40.81-73.66,1,
40.76-74.30,3,
40.81-73.69,2,
40.76-74.32,1,
40.73-74.36,3,
40.73-74.35,2,
40.73-74.37,1,
40.73-74.32,5,
41.03-73.92,1,
40.73-74.31,2,
40.86-73.08,1,
40.73-74.34,2,
40.73-74.33,2,
40.74-74.32,3,
40.74-74.37,10,
40.74-74.36,5,
40.74-74.34,1,
40.74-74.39,1,
40.74-74.38,4,
40.68-73.78,8,
40.68-73.79,14,
40.68-73.76,7,
41.03-73.69,1,
41.02-73.96,1,
40.68-73.77,7,
40.76-74.20,1,
40.76-74.21,5,
40.76-74.22,5,
40.76-74.23,5,
41.02-73.92,2,
41.03-73.66,2,
40.76-74.24,1,
41.03-73.63,15,
40.68-73.70,5,
40.76-74.25,7,
40.22-74.57,1,
40.68-73.71,1,
40.76-74.26,1,
41.03-73.61,1,
40.76-74.27,1,
41.03-73.62,2,
40.68-73.74,13,
40.76-74.29,1,
41.03-73.60,2,
40.68-73.75,1,
40.68-73.72,5,
40.68-73.73,5,
41.05-73.54,44,
40.74-74.43,2,
41.05-73.55,2,
41.05-73.53,9,
41.05-73.58,6,
40.74-74.47,1,
41.05-73.57,8,
40.67-73.90,31,
41.05-73.51,1,
40.84-73.18,1,
40.67-73.95,519,
40.68-73.89,21,
41.02-73.87,3,
40.67-73.96,932,
41.02-73.86,1,
40.67-73.97,722,
40.68-73.87,48,
40.81-73.47,3,
40.67-73.98,1474,
40.68-73.88,11,
41.02-73.84,1,
40.67-73.91,44,
40.81-73.49,1,
41.03-73.78,2,
40.76-74.10,1,
40.67-73.92,63,
41.03-73.79,3,
40.81-73.48,4,
40.76-74.11,1,
40.67-73.93,191,
41.03-73.76,21,
40.67-73.94,294,
41.03-73.77,46,
41.02-73.80,1,
40.68-73.81,25,
40.76-74.14,1,
40.68-73.82,20,
41.03-73.75,2,
40.76-74.15,1,
41.03-73.72,2,
40.76-74.16,1,
40.68-73.80,30,
40.67-73.99,998,
40.68-73.85,20,
40.73-74.54,1,
41.03-73.71,3,
40.68-73.86,49,
40.73-74.53,1,
40.68-73.83,4,
40.68-73.84,20,
40.84-73.89,16,
40.44-74.51,1,
40.84-73.85,21,
40.84-73.86,23,
40.97-73.80,2,
40.84-73.87,11,
40.97-73.81,1,
40.84-73.88,19,
41.10-73.43,1,
41.10-73.45,1,
41.10-73.40,1,
41.10-73.42,6,
40.52-74.34,6,
40.86-74.01,2,
40.78-74.23,2,
40.78-74.24,1,
40.78-74.25,2,
40.86-74.02,1,
40.86-74.05,1,
40.78-74.20,5,
40.84-73.82,7,
40.86-74.04,1,
40.97-73.84,1,
40.84-73.83,9,
40.86-74.07,3,
40.97-73.85,1,
40.78-74.21,1,
40.78-74.22,1,
40.84-73.84,27,
40.86-74.06,6,
40.97-73.86,1,
40.97-73.87,4,
40.86-74.09,2,
40.86-74.08,1,
40.97-73.88,1,
40.97-73.89,1,
40.57-74.59,1,
40.89-73.94,2,
40.84-73.78,1,
40.89-73.92,8,
40.89-73.91,195,
40.89-73.98,1,
40.89-73.97,7,
40.84-73.75,2,
40.89-73.96,7,
40.92-73.76,2,
40.89-73.95,3,
40.92-73.75,2,
41.50-72.90,1,
40.89-73.99,4,
40.44-74.49,1,
41.07-73.82,4,
40.78-74.17,1,
40.52-74.46,1,
40.52-74.41,1,
40.86-74.11,1,
40.78-74.13,1,
40.78-74.14,2,
40.86-74.13,2,
40.92-73.78,1,
40.49-74.62,1,
40.86-74.15,2,
40.86-74.18,1,
40.97-73.96,1,
40.92-73.79,1,
40.57-74.66,7,
40.89-73.90,176,
41.07-73.86,4,
40.52-74.49,1,
40.63-73.90,12,
40.89-73.83,9,
40.92-73.81,1,
40.89-73.82,5,
40.92-73.83,4,
40.84-73.69,2,
40.89-73.81,2,
40.92-73.82,1,
40.63-73.94,37,
40.92-73.85,7,
40.89-73.86,10,
40.63-73.93,20,
40.92-73.84,3,
40.63-73.92,41,
40.92-73.87,11,
40.89-73.85,9,
40.92-73.86,11,
40.63-73.91,20,
40.89-73.84,10,
41.04-74.04,1,
40.44-74.36,2,
40.89-73.89,12,
40.89-73.88,11,
41.04-74.06,1,
40.78-74.49,1,
41.07-73.70,32,
40.78-74.45,1,
40.63-73.98,26,
40.92-73.89,2,
40.78-74.42,2,
40.63-73.97,109,
40.92-73.88,1,
40.63-73.96,117,
41.07-73.77,3,
40.78-74.43,4,
40.63-73.95,102,
40.78-74.44,1,
40.63-73.99,16,
40.92-73.94,1,
40.92-73.96,5,
40.92-73.95,3,
40.84-73.54,1,
40.92-73.98,1,
40.92-73.97,2,
40.89-73.79,2,
40.44-74.25,1,
40.89-73.78,7,
40.92-73.90,7,
40.78-74.38,1,
40.49-74.44,4,
40.78-74.35,2,
40.78-74.30,1,
40.78-74.31,1,
40.84-73.50,1,
40.78-74.33,1,
41.07-73.61,1,
40.63-73.72,9,
40.63-73.71,4,
40.89-73.63,1,
40.86-74.41,2,
40.59-73.67,2,
40.59-73.65,2,
40.59-73.64,2,
40.57-74.14,2,
40.67-73.48,1,
40.67-73.49,1,
40.63-73.74,1,
40.63-73.73,4,
40.57-74.11,1,
40.57-74.17,1,
40.67-73.47,1,
40.89-73.53,1,
40.59-73.77,1,
40.59-73.76,4,
40.59-73.75,1,
40.59-73.72,1,
40.59-73.70,1,
40.63-73.89,37,
40.63-73.88,2,
40.89-73.44,2,
40.86-74.20,1,
40.57-74.32,1,
40.57-74.34,1,
40.57-74.33,4,
40.63-73.61,1,
40.84-73.97,16,
40.84-73.98,3,
40.84-73.99,2,
40.89-73.34,1,
40.86-74.38,1,
40.84-73.92,36,
40.84-73.93,12,
40.63-73.64,1,
40.84-73.94,402,
40.84-73.95,53,
40.63-73.69,1,
40.84-73.90,9,
40.84-73.91,34,
40.62-73.60,11,
40.88-73.58,2,
41.19-73.44,1,
40.87-74.45,7,
40.87-74.43,1,
40.87-74.42,1,
40.88-73.60,1,
40.88-73.62,1,
40.93-73.96,3,
40.93-73.95,3,
40.56-74.19,1,
40.93-73.94,1,
40.93-73.93,2,
40.93-73.90,6,
40.56-74.14,1,
40.43-74.25,1,
40.48-74.44,1,
40.48-74.46,1,
40.43-74.20,1,
40.48-74.41,1,
40.93-73.99,1,
40.93-73.86,3,
40.56-74.28,2,
40.93-73.85,18,
40.56-74.27,1,
40.93-73.84,13,
40.93-73.82,4,
40.93-73.81,5,
40.93-73.80,1,
40.88-73.89,58,
40.88-73.86,6,
40.88-73.85,24,
40.53-74.53,1,
40.88-73.88,69,
40.88-73.87,12,
40.57-74.00,2,
40.93-73.89,3,
40.88-73.84,10,
40.88-73.83,10,
40.93-73.87,1,
40.88-73.91,54,
40.88-73.90,31,
40.96-73.70,2,
40.96-73.72,1,
40.96-73.71,5,
40.96-73.73,1,
40.96-73.76,2,
40.96-73.75,1,
40.96-73.77,3,
40.96-73.79,1,
40.88-73.97,2,
40.88-73.96,2,
40.88-73.99,10,
40.53-74.40,2,
40.88-73.98,5,
40.88-73.92,26,
40.88-73.95,6,
40.98-73.80,3,
40.51-74.27,2,
40.98-73.82,1,
40.98-73.83,1,
40.51-74.39,1,
40.45-74.49,1,
40.51-74.33,2,
40.96-73.95,2,
40.96-73.98,1,
40.96-73.97,1,
40.98-73.79,1,
40.98-73.76,3,
40.98-73.71,2,
40.97-73.67,2,
40.97-73.70,2,
40.97-73.71,1,
40.51-74.46,1,
40.51-74.47,1,
40.96-73.81,1,
40.96-73.80,1,
40.96-73.82,1,
40.96-73.84,2,
40.51-74.41,1,
40.53-74.17,1,
40.96-73.86,6,
40.96-73.88,1,
40.98-73.68,5,
40.98-73.69,2,
40.97-73.72,3,
40.97-73.74,2,
40.97-73.75,1,
40.97-73.77,9,
40.52-74.28,1,
40.97-73.78,2,
40.97-73.79,1,
40.91-73.90,17,
40.91-73.91,6,
40.80-74.05,5,
40.91-73.95,1,
40.80-74.03,1,
40.85-74.20,1,
40.80-74.02,4,
40.91-73.99,1,
40.80-74.07,13,
40.80-74.06,6,
40.91-73.97,1,
40.80-74.01,2,
40.80-74.00,7,
41.16-73.40,1,
40.91-73.80,1,
40.80-74.15,2,
40.91-73.84,4,
40.91-73.81,5,
40.91-73.82,1,
40.91-73.87,5,
40.91-73.85,5,
40.91-73.86,2,
40.80-74.17,1,
40.91-73.89,1,
40.80-74.11,2,
40.80-74.10,6,
40.85-74.08,3,
40.85-74.07,11,
40.85-74.05,1,
40.85-74.09,1,
40.85-74.00,1,
40.85-74.04,2,
40.85-74.03,1,
40.85-74.02,2,
40.85-74.01,7,
41.08-74.05,1,
41.08-74.11,1,
41.16-73.23,1,
41.16-73.24,1,
40.85-74.19,2,
40.85-74.18,1,
40.85-74.17,3,
40.85-74.16,5,
40.85-74.11,2,
40.85-74.15,1,
41.08-74.15,1,
40.85-74.13,1,
40.85-74.12,3,
41.03-74.07,1,
40.93-73.75,2,
40.91-73.55,1,
41.18-73.14,1,
40.58-73.98,30,
40.58-73.97,31,
40.87-74.12,1,
40.87-74.11,6,
40.58-73.99,4,
40.87-74.10,3,
40.87-74.19,1,
41.16-73.85,1,
40.58-73.94,12,
40.58-73.93,6,
40.93-73.78,2,
40.58-73.96,51,
40.83-74.43,1,
40.87-74.15,1,
40.93-73.77,1,
40.93-73.76,8,
40.58-73.95,27,
40.87-74.14,1,
40.87-74.01,2,
40.87-74.00,3,
40.87-74.09,1,
41.16-73.77,1,
40.87-74.08,1,
40.87-74.06,13,
40.58-73.82,2,
40.87-74.04,1,
40.85-74.44,1,
40.91-73.77,1,
40.85-74.46,2,
40.85-74.45,6,
40.91-73.78,15,
40.87-74.31,2,
41.00-74.06,2,
41.00-74.04,2,
40.56-73.91,1,
40.58-73.65,1,
40.87-74.23,1,
40.87-74.20,1,
40.87-74.26,1,
40.87-74.25,1,
41.00-74.16,1,
40.82-74.30,1,
40.82-74.31,1,
41.53-72.77,2,
40.83-74.09,3,
40.83-74.07,1,
40.83-74.08,9,
40.83-74.05,2,
40.83-74.06,4,
40.82-74.36,11,
40.83-74.01,1,
41.06-74.12,2,
40.83-74.02,1,
40.83-74.00,2,
41.06-74.14,1,
40.82-74.21,4,
41.14-73.25,1,
41.00-74.22,1,
41.13-73.36,4,
40.83-74.18,1,
40.83-74.19,3,
40.82-74.22,14,
40.82-74.23,1,
40.82-74.24,1,
40.83-74.14,2,
40.91-73.09,1,
40.83-74.15,1,
40.83-74.12,1,
40.82-74.26,2,
40.83-74.13,1,
40.82-74.27,1,
40.83-74.10,7,
40.82-74.28,1,
40.83-74.11,1,
40.82-74.29,1,
40.83-74.20,2,
41.14-73.37,1,
41.14-73.36,2,
41.14-73.33,2,
41.11-73.80,2,
41.14-73.34,1,
40.91-73.31,1,
41.13-73.69,1,
41.11-73.86,2,
40.83-74.25,3,
40.59-73.82,1,
40.59-73.81,2,
40.83-74.26,1,
40.83-74.23,2,
41.12-73.53,1,
40.59-73.80,1,
40.83-74.24,1,
40.83-74.21,2,
40.83-74.22,3,
41.01-74.18,1,
40.83-74.30,1,
41.14-73.42,1,
40.82-74.41,2,
40.90-73.44,1,
40.19-74.60,1,
41.11-73.72,1,
40.59-73.99,18,
40.59-73.98,22,
40.59-73.97,24,
40.59-73.96,28,
40.59-73.95,32,
40.59-73.94,14,
40.59-73.93,17,
40.82-74.47,1,
40.82-74.48,1,
40.59-73.90,6,
40.84-74.14,1,
40.84-74.15,9,
40.84-74.16,4,
40.84-74.10,2,
41.07-74.17,1,
41.07-74.15,2,
40.84-74.12,3,
40.80-74.49,2,
40.80-74.48,10,
40.80-74.47,5,
40.80-74.46,4,
40.81-74.21,9,
40.84-74.17,1,
40.81-74.22,8,
40.84-74.18,2,
40.84-74.19,1,
40.81-74.20,2,
40.81-74.25,3,
40.81-74.26,3,
41.10-73.81,2,
41.12-73.37,1,
40.81-74.23,2,
40.81-74.29,3,
40.81-74.27,2,
40.80-74.42,1,
41.05-74.00,2,
40.84-74.05,2,
41.05-74.03,3,
40.84-74.00,4,
41.05-74.02,2,
41.10-73.77,1,
41.10-73.78,2,
41.10-73.72,1,
41.04-74.10,1,
40.84-74.07,8,
40.84-74.08,1,
40.81-74.36,4,
41.04-74.07,2,
41.04-74.08,4,
41.11-73.56,1,
40.81-74.38,1,
40.81-74.39,4,
41.07-74.13,1,
41.07-74.12,1,
41.11-73.58,1,
41.12-73.42,2,
41.05-74.12,1,
40.82-74.10,3,
40.80-74.26,2,
40.80-74.25,4,
40.80-74.24,2,
41.10-73.68,1,
40.81-74.00,13,
41.10-73.62,1,
40.82-74.19,1,
41.13-73.29,1,
41.13-73.28,1,
40.81-74.01,2,
40.81-74.02,5,
40.81-74.07,12,
41.13-73.25,1,
40.80-74.23,2,
40.81-74.08,17,
41.13-73.24,2,
40.80-74.21,3,
40.80-74.20,1,
40.82-74.11,2,
40.82-74.12,4,
40.82-74.13,2,
40.81-74.09,2,
40.82-74.14,3,
40.82-74.15,5,
40.82-74.16,2,
40.82-74.17,1,
41.05-74.22,1,
40.80-74.37,1,
40.81-74.10,17,
40.81-74.11,4,
40.81-74.14,4,
40.82-74.08,1,
40.81-74.15,1,
40.82-74.09,6,
40.81-74.12,2,
40.80-74.34,1,
40.81-74.16,2,
40.82-74.01,1,
40.82-74.07,6,
